brand,title,price,manufacturer,country_of_origin,imported_by,product_dimensions,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,images_dir,s3_dir
Nike,WMNS DUNK LOW PREMIUM WHITEUNIVERSITY RED-OBSIDIAN-WOLF GREY,"₹ 10,795.00",Nike,China,Nike India Pvt. Ltd.,,0.95kg,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DZ2780-100,"The '80s b-ball icon returns with classic details and throwback hoops flair. Channeling vintage style back onto the streets, its padded, low-cut collar lets you take your game anywhere—in comfort.Leather and textile in the upper softens and gains vintage character with wear.Foam midsole offers lightweight, responsive cushioning.Rubber outsole with classic hoops pivot circle adds durability and traction.More Details  Low-cut collar Foam insole",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-dunk-low-premi-um-white-university-red-obsidian-wolf-grey,data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk low premium whiteuniversity red-obsidian-wolf grey,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk low premium whiteuniversity red-obsidian-wolf grey
Nike,WMNS DUNK LOW VARSITY REDGREY,"₹ 8,695.00",Nike India Pvt. Ltd.,Indonesia,Nike India Pvt. Ltd.,,95KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DX5931-001,"All that shimmers isn't gold. Decked out in sumptuously smooth, satin-esque fabric, the Dunk Low is dressier than your average pair of sneakers but sporty enough to dress down. Its classic colour combo nods to the sneaker's original Be True to Your School ad campaign, rooting your look to coveted off-court allure. As if you need any more reason to snag this pair. You game?",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-dunk-low-varsity-red-grey,data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk low varsity redgrey,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk low varsity redgrey
Converse,RUN STAR MOTION CX PLATFORM BLACKWHITE,"₹ 7,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,172895C,"Forget what you knew about form. The Run Star Motion takes classic Converse DNA and pairs it with an ultra-modern, innovative midsole to completely redefine platform style. The fluid lines you saw on court in the early 2000s come through the platform midsole, blending sport with high fashion. This expressive, lugged base is fused with an organic cotton canvas upper that borrows the same stitching, laces, and vintage inner tongue logo as the iconic Chuck 70. All supported by a CX sockliner and CX foam midsole for lightweight, maximum comfort.  Details  Low-top, platform shoe with expressive lugged outsole and premium Chuck 70 detailing 100% organic cotton canvas upper Heel pods with ultra-expressive lugs define the style Classic Chuck 70 upper, including stitching, laces, eyelets, and vintage inner tongue logo CX foam midsole with sculpted, debossed pinstripe; CX sockliner for comfort",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/run-star-motion-cx-platform-black-white,data/raw/superkicks/women-skateboard-sneakers/images/converse/run star motion cx platform blackwhite,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/run star motion cx platform blackwhite
Converse,WMNS CHUCK TAYLOR ALL STAR LUGGED 2.0 BLACKWHITE,"₹ 5,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A00870C,"With a cotton canvas upper and a breathable mesh lining, these lugged platforms come ready to take on the season. A tall rubber sidewall offers added protection, plus bold, chevron-inspired tread for style and stability. Classic neutrals pair easily with anything and everything in your closet. PRODUCT DETAILS  High-top platform sneaker-boot with canvas upper OrthoLite cushioning for all-day comfort A mesh lining keeps it breathable Lugged rubber outsole with chevron-inspired tread for traction Iconic Chuck Taylor ankle patch",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-lugged-2-0-black-white,data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns chuck taylor all star lugged 2.0 blackwhite,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns chuck taylor all star lugged 2.0 blackwhite
Converse,WMNS CHUCK TAYLOR ALL STAR MOVE PLATFORM STONE MAUVEWHITE,"₹ 4,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A01369C,"A bold, angular platform brings new energy to classic Chucks without the bulky weight. Made with cotton canvas and finished with new hues, these platforms belong in heavy rotation. Stand tall and stand out.  WHY YOU SHOULD BE DOWN  High-top platform sneaker with a cotton canvas upper OrthoLite cushioning for all-day comfort A mesh lining for breathability New Converse colors to refresh your rotation Lightweight, projectile platform adds height.",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-chuck-taylor-all-star-move-platform-stone-mauve-white,data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns chuck taylor all star move platform stone mauvewhite,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns chuck taylor all star move platform stone mauvewhite
Vans,WMNS ASHETR MULTI,"₹ 3,499.00",Cravatex Brands Limited,Vietnam,Cravatex Brands Limited,,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,71002923,The iconic ASHER slip-on sneaker for Women from VANS is both cool and durable with its vulcanized outsole and canvas upper.,women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-ashetr-multi,data/raw/superkicks/women-skateboard-sneakers/images/vans/wmns ashetr multi,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/vans/wmns ashetr multi
Nike,WMNS DUNK HIGH BLACKSUMMIT WHITEROSEWOOD,"₹ 9,295.00",Nike,Vietnam,Nike India Pvt. Ltd.,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DD1869-005,"BRINGING OLD SCHOOL BACK. Created for the hardwood but taken to the streets, the '80s b-ball icon returns with crisp leather and retro colors. The classic hoops design channels '80s vintage back onto the streets while the padded, high-top collar adds an old-school look rooted to comfort.  The crisp leather on the upper ages to soft perfection and features durable overlays reminiscent of '80s b-ball. The foam midsole offers lightweight, responsive cushioning. The padded, high-top collar adds an old school look that feels comfortable. The bold color-blocking features retro colors for added throwback vibes. The rubber outsole with classic hoops pivot circle adds durability, tractions and heritage style.  Details  High collar Foam insole Perforations on toe",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-dunk-high-black-summit-white-rosewood,data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk high blacksummit whiterosewood,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk high blacksummit whiterosewood
Converse,WMNS RUN STAR LEGACY CX BLACKWHITE,"₹ 7,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A00869C,"The latest iteration of the best-selling Run Star Hike, the Run Star Legacy CX mixes bold platform styling with premium comfort. A lightweight CX midsole and sockliner keep you light on your feet, while distorted Chuck Taylor design elements keep them guessing. A winged tongue and heel bumper allow for easy on and off, so nothing can slow you down. PRODUCT DETAILS  High-top platforms with canvas upper A CX foam midsole and sockliner keep it lightweight and comfortable Distorted rubber pinstripe bumpers for style and easy-off functionality Exaggerated collar and canvas winged tongue for ease of entry Premium laces and a faux leather patch elevate the design",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-run-star-legacy-cx-black-white,data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns run star legacy cx blackwhite,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns run star legacy cx blackwhite
Nike,WMNS DUNK HIGH  PALE VANILLATOPAZ GOLD-SAIL,"₹ 9,295.00",Nike,Vietnam,Nike India Pvt. Ltd.,,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DD1869-201,"BRINGING OLD SCHOOL BACK.Created for the hardwood but taken to the streets, the '80s b-ball icon returns with crisp leather and retro colors. The classic hoops design channels '80s vintage back onto the streets while the padded, high-top collar adds an old-school look rooted to comfort.The crisp leather on the upper ages to soft perfection and features durable overlays reminiscent of '80s b-ball.The foam midsole offers lightweight, responsive cushioning.The padded, high-top collar adds an old school look that feels comfortable.The bold color-blocking features retro colors for added throwback vibes.The rubber outsole with classic hoops pivot circle adds durability, tractions and heritage style.More Details  High collar Foam insole Perforations on toe",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-dunk-high-pale-vanilla-topaz-gold-sail,data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk high  pale vanillatopaz gold-sail,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk high  pale vanillatopaz gold-sail
Nike,WMNS DUNK LOW PREMIUM MF RUSH FUCHSIARUSH FUCHSIA-RUSH FUCHSIA,"₹ 9,392.00",Nike,Vietnam,Nike India Pvt. Ltd.,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DV7415-500,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with classic details and throwback hoops flare. Channeling vintage style back onto the streets, its padded, low-cut collar lets you take your game anywhere—in comfort.Upper softens and gains vintage character with wear, featuring a durable construction reminiscent of '80s basketball style.Foam midsole offers lightweight, responsive cushioning.Rubber outsole with classic hoops pivot circle adds durability and traction.More Details  Low-cut collar Foam insole",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-dunk-low-premium-mf-rush-fuchsia-rush-fuchsia-rush-fuchsia,data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk low premium mf rush fuchsiarush fuchsia-rush fuchsia,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk low premium mf rush fuchsiarush fuchsia-rush fuchsia
Converse,CHUCK TAYLOR ALL STAR LIFT SEASONAL COLOR YELLOW,"₹ 4,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A03057C,"The double sole enhances the legendary look of the ankle sneaker. New upbeat colorways evoke a cheery spring vibe, while Chuck Taylor staples such as the checkered sole and contrasting stripes on the midsole represent proven style.         Ankle platforms with polyester canvas upper Comfortable thanks to the OrthoLite insole In new Converse colors to complete the collection The sole with a platform will lift you to the heights Standard woven tongue tag and license plate",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/chuck-taylor-all-star-lift-seasonal-color-yellow,data/raw/superkicks/women-skateboard-sneakers/images/converse/chuck taylor all star lift seasonal color yellow,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/chuck taylor all star lift seasonal color yellow
Vans,UTILITY POP OLD SKOOL YELLOW,"₹ 4,499.00",Cravatex Brands Limited,Vietnam,Cravatex Brands Limited,,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,71002978,"First known as the Vans #36, the Old Skool debuted in 1977 with a unique new addition: a random doodle drawn by founder Paul Van Doren, and originally referred to as the “jazz stripe.” Today, the famous Vans Sidestripe has become the unmistakable-and instantly recognizable-hallmark of the Vans brand. Featuring durable suede and canvas uppers, the Utility Pop Old Skool pays homage to our heritage while ensuring that this low top, lace-up shoe remains as iconic as ever. It also includes re-enforced toe caps, supportive padded collars, and signature rubber waffle outsoles.",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/utility-pop-old-skool-yellow,data/raw/superkicks/women-skateboard-sneakers/images/vans/utility pop old skool yellow,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/vans/utility pop old skool yellow
Converse,WMNS CHUCK 70 PLUS SEASONAL COLOR SUNRISE PINKEGRET,"₹ 6,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A04366C,"An unanticipated update on an all-time classic, the Chuck 70 Plus mixes iconic features with future-forward styling. A fusion of cut-and-sew canvas comes together with bold, asymmetrical lines for a statement-making look. Spliced rubber and ankle patch details keep all eyes on you, while premium cushioning helps you stay light on your feet. WHY YOU SHOULD BE DOWN  High-top sneaker with cotton canvas upper OrthoLite cushioning for all-day comfort An asymmetrical, fused design and elongated tongue for standout style A split rubber outsole distorts heritage Chuck Taylor design elements A spliced Chuck Taylor ankle patch",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/chuck-70-plus-seasonal-color-sunrise-pink-egret,data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns chuck 70 plus seasonal color sunrise pinkegret,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns chuck 70 plus seasonal color sunrise pinkegret
Converse,WMNS CHUCK TAYLOR ALL STAR HI EGRETBLACKEGRET,"₹ 4,499.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,A03730C,"UNTAMED STYLE. Get bold in signature style with a fresh pair of Chucks. Designed to stand out, mismatched animal prints are sure to turn heads. Finished with a breathable mesh lining, they're equal parts comfortable and stylish.",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-chuck-taylor-all-star-hi-egret-black-egret,data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns chuck taylor all star hi egretblackegret,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/wmns chuck taylor all star hi egretblackegret
Converse,RUN STAR MOTION BLACK,"₹ 8,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,171545C,"We could tell you that it's the OG basketball shoe, created over 100 years ago. Or that the design has largely stayed the same, because why mess with a good thing. Or how it became the unofficial sneaker of all your favorite artists and musicians, who each made it their own. Yeah, we could share a lot of stories, but the one that matters most isn't ours it's yours. It's how and where you take your Chucks. The legacy is long, but what comes next is up to you. We just make the shoe. You make the stories.  Canvas upper is lightweight and durable The timeless silhouette you know and love High profile for classic coverage Medial eyelets enhance airflow Classic All Star ankle patch",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/run-star-motion-black,data/raw/superkicks/women-skateboard-sneakers/images/converse/run star motion black,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/run star motion black
Nike,WMNS DUNK HIGH BLACKWHITE,"₹ 9,295.00",PT. NIKOMAS GEMILANG,Indonesia,Nike India Private Limited,,0.95,SHOE,1 Pair,SUPER KICKS INDIA PVT. LTD,DD1869-103,"Created for the hardwood but taken to the streets, the ’80s b-ball icon returns with crisp leather and retro colors. The classic hoops design channels ’80s vintage back onto the streets while the padded, high-top collar adds an old-school look rooted to comfort.",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/wmns-dunk-high-black-white,data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk high blackwhite,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/nike/wmns dunk high blackwhite
Converse,RUN STAR HIKE LOW WHITE,"₹ 5,999.00",Converse,Vietnam,CAMP INDIA PVT LTD,,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,168817C,"Available in a low top for the first time, the Run Star Hike's chunky platform and jagged rubber sole put an unexpected twist on your everyday Chucks. Details like an organic canvas build, rubber toe cap and Chuck Taylor ankle patch stay true to the original, while a molded platform, two-tone outsole and rounded heel give off futuristic vibes. Winged tongue stitching for reinforcement.  Low-top, platform canvas shoe Colorblocked, lugged outsole for style and traction OrthoLite cushioning for comfort",women-skateboard-sneakers,https://www.superkicks.in/collections/women-skateboard-sneakers,https://www.superkicks.in/products/run-star-hike-low-white,data/raw/superkicks/women-skateboard-sneakers/images/converse/run star hike low white,s3://sneakers-ml/data/raw/superkicks/women-skateboard-sneakers/images/converse/run star hike low white
